"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009925","basal plasma membrane","13/260","144/10792",0.0902777777777778,3.74722222222222,5.21438520261468,4.33249248034711e-05,0.0144748274423455,0.0139526722241414,"CD38/SLC4A8/SLC12A2/DLG3/FXYD5/SLC9A1/NEDD9/SLC16A10/SLC2A1/SLC16A3/INPPL1/NOD2/MYO1C",13
"GO:0045178","basal part of cell","13/260","153/10792",0.0849673202614379,3.52679738562092,4.94570063560428,8.13192552940756e-05,0.0144748274423455,0.0139526722241414,"CD38/SLC4A8/SLC12A2/DLG3/FXYD5/SLC9A1/NEDD9/SLC16A10/SLC2A1/SLC16A3/INPPL1/NOD2/MYO1C",13
"GO:0030139","endocytic vesicle","15/260","215/10792",0.0697674418604651,2.895885509839,4.41176306119797,0.000217934099101347,0.0211490242077809,0.0203861084912376,"CD74/UNC93B1/HBEGF/NCF2/SYT11/SH3KBP1/RAB11FIP1/ZYX/NOS3/NOD2/HLA-DPA1/FMNL1/MYO1C/TAP2/SEC22B",15
"GO:0045335","phagocytic vesicle","10/260","109/10792",0.0917431192660551,3.80804516584333,4.62948646499805,0.000290720294961224,0.0211490242077809,0.0203861084912376,"UNC93B1/NCF2/SYT11/RAB11FIP1/ZYX/NOD2/FMNL1/MYO1C/TAP2/SEC22B",10
"GO:0016323","basolateral plasma membrane","11/260","130/10792",0.0846153846153846,3.51218934911243,4.52758697745674,0.000297036856850855,0.0211490242077809,0.0203861084912376,"CD38/SLC4A8/SLC12A2/DLG3/FXYD5/SLC9A1/NEDD9/SLC16A10/SLC2A1/SLC16A3/NOD2",11
"GO:0030027","lamellipodium","11/260","143/10792",0.0769230769230769,3.19289940828402,4.14757655256359,0.000670615910838702,0.0397898773764297,0.0383545240234065,"CAPZB/CARMIL1/SLC9A1/ABLIM1/LIMK1/NEDD9/PTK2B/RAB3IP/PLCE1/INPPL1/P4HB",11
"GO:0000786","nucleosome","9/260","104/10792",0.0865384615384615,3.59201183431953,4.17318388998353,0.000890167436756249,0.0452713724978892,0.0436382833657951,"MACROH2A1/H1-3/H2BC5/H2BC21/H1-2/H4C16/H2BC8/H3C1/H4C5",9
