"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","21/2255","27/4862",0.777777777777778,1.6769647696477,3.28031295263659,0.00086573620722902,0.013686877180954,0.0122808695060558,"4190/1431/3421/1738/2271/50/5106/6390/48/47/5160/8803/6391/4191/1737/8802/3419/5162/5091/3418/6392",21
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","27/2255","37/4862",0.72972972972973,1.57336849044166,3.25575408241765,0.000911733135406559,0.0137588818615899,0.0123454773837347,"4190/586/1789/26227/4507/2937/191/6611/259307/587/3945/6723/1491/2805/2806/4357/1786/29968/56267/58478/4191/51074/23382/875/10768/4144/883",27
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","31/2255","44/4862",0.704545454545455,1.51906873614191,3.21649870060296,0.00102205946540905,0.0147532061963393,0.0132376580645657,"5685/5705/5720/5714/5684/5693/5687/5721/5688/5683/5709/5717/3458/10213/7979/5682/11047/10197/5695/5694/5686/5710/5702/5707/5708/5719/5718/5696/5699/5698/5691",31
"Organismal Systems","Digestive system","hsa04980","Cobalamin transport and metabolism","13/2255","15/4862",0.866666666666667,1.86861788617886,3.1333106556468,0.00154661340692712,0.0213948187958252,0.0191969997438761,"7629/5052/5826/4552/25974/326625/4594/7702/51293/55788/57215/27249/3054",13
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","21/2255","28/4862",0.75,1.61707317073171,3.04528487261051,0.0019532464471472,0.0259391128181148,0.0232744734544276,"10797/1738/4522/191/1491/25902/160428/471/2653/275/23382/2618/875/10768/4144/7298/6470/4524/6472/1719/100528021",21
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","28/2255","40/4862",0.7,1.50926829268293,3.00765901871137,0.00208990104976572,0.0266864287893161,0.0239450201248461,"5315/224/2023/1738/5106/5230/2821/2027/230/2597/7167/2026/3945/10327/55902/5160/219/5211/223/226/1737/5213/3098/3099/5162/55276/5223/128",28
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","14/2255","17/4862",0.823529411764706,1.77560975609756,2.97910905347664,0.00262612236035443,0.0322915786532471,0.0289743714612204,"60481/64834/51495/11332/6319/9524/6342/10965/3295/51144/3992/51/79071/201562",14
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","95/2255","166/4862",0.572289156626506,1.2339112547752,2.85171872037033,0.00280611116257951,0.0332724609277285,0.0298544909402257,"4706/292/7384/4719/5601/4710/5590/5165/7419/4708/513/4713/2936/5296/4717/506/2597/1337/1347/374291/9167/515/10000/6390/4709/5524/4702/7043/5290/514/4694/1340/10975/5880/1349/4695/5160/517/183/1329/5879/4711/5330/4704/7385/4716/207/6391/142/817/4726/5295/54539/818/4718/498/518/522/4720/516/2539/4724/27089/1345/4712/509/7417/4714/10476/5162/4725/4696/7388/126328/1351/9377/1537/23236/4707/29796/55967/4700/6667/51079/5501/4697/2673/2475/4538/4514/177/6392/7416/440567/539",95
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","23/2255","32/4862",0.71875,1.54969512195122,2.9012748603942,0.00304768725044574,0.0348907643844133,0.0313065514292612,"4190/5315/224/38/32/4200/1738/2271/5106/3945/10327/39/2739/55902/5160/9380/219/223/4191/1737/5162/5091/128",23
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","96/2255","169/4862",0.568047337278107,1.22476547842401,2.765752109359,0.00363454552196826,0.0402223037764487,0.0360903993935796,"8379/1387/578/5610/51564/841/5315/387/998/5566/7419/5933/581/5902/2033/83933/55697/9093/898/5296/1021/10014/7531/2965/1027/2967/1108/896/6908/6722/1386/991/894/5290/1017/8970/6776/7533/468/7187/3845/10971/1019/4193/5879/5925/2958/148327/890/5295/2934/1111/5922/8365/3716/79885/836/2957/7529/1642/3516/7532/8841/6777/9134/2885/8347/23513/8340/3066/128312/8364/27044/8363/2961/85236/28973/440689/3105/4893/8341/554313/8362/8342/8344/8361/8348/8368/8345/8294/3018/8360/8343/8346/8359/8366",96
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","18/2255","24/4862",0.75,1.61707317073171,2.81822018645464,0.00415798213610586,0.0445306473931337,0.0399561611041752,"4190/1431/38/1738/50/5096/39/48/55902/9380/2653/275/4594/4191/132158/6470/81888/6472",18
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","30/2255","45/4862",0.666666666666667,1.43739837398374,2.74132587923333,0.00468452561424856,0.0486019532478288,0.0436092351589586,"60481/64834/2182/37/51495/38/3030/6319/9524/7923/1962/6342/51102/39/35/1892/5538/3295/3032/3033/84869/51144/3992/54995/51/23305/10449/79071/197322/201562",30
