Package	Version
biomaRt	2.66.0
DESeq2	1.50.2
SummarizedExperiment	1.40.0
Biobase	2.70.0
MatrixGenerics	1.22.0
matrixStats	1.5.0
GenomicRanges	1.62.1
Seqinfo	1.0.0
IRanges	2.44.0
S4Vectors	0.48.0
BiocGenerics	0.56.0
generics	0.1.4
edgeR	4.8.2
limma	3.66.0
tximport	1.38.2
ggrepel	0.9.6
knitr	1.51
lubridate	1.9.4
forcats	1.0.1
stringr	1.6.0
dplyr	1.2.0
purrr	1.2.1
readr	2.1.6
tidyr	1.3.2
tibble	3.3.1
ggplot2	4.0.2
tidyverse	2.0.0
