GeneID,Symbol,Module,Module_kME,PValue_kME,Is_Hub,Predicted_BP,Predicted_MF,Predicted_CC,Predicted_KEGG,log2FoldChange,padj_DE
ENSG00000302762.1,,blue,-0.6567861894144524,4.1708451808560834e-6,FALSE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,NA,NA
ENSG00000302880.1,,turquoise,-0.35459677333216943,0.024764113244464928,FALSE,transcription initiation at RNA polymerase II promoter; DNA-templated transcription initiation; transcription preinitiation complex assembly,Unknown,nuclear ribonucleoprotein granule,Biosynthesis of cofactors,NA,NA
ENSG00000302916.1,,turquoise,0.6766492655640585,1.6404909286627865e-6,FALSE,transcription initiation at RNA polymerase II promoter; DNA-templated transcription initiation; transcription preinitiation complex assembly,Unknown,nuclear ribonucleoprotein granule,Biosynthesis of cofactors,NA,NA
ENSG00000302917.1,,brown,-0.580187785118518,8.705635263884414e-5,FALSE,"alternative mRNA splicing, via spliceosome; RNA splicing, via transesterification reactions; RNA splicing, via transesterification reactions with bulged adenosine as nucleophile; mRNA splicing, via spliceosome; mRNA processing",Unknown,Unknown,Spliceosome,NA,NA
ENSG00000302941.1,,turquoise,-0.6415474430384476,8.158197341539659e-6,FALSE,transcription initiation at RNA polymerase II promoter; DNA-templated transcription initiation; transcription preinitiation complex assembly,Unknown,nuclear ribonucleoprotein granule,Biosynthesis of cofactors,NA,NA
ENSG00000302952.1,,blue,-0.42130111943819587,0.006782246187260645,FALSE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,NA,NA
ENSG00000302966.1,,yellow,0.5130244559783376,7.116570218152504e-4,FALSE,Unknown,monoatomic ion channel activity; transmembrane receptor protein kinase activity; channel activity; passive transmembrane transporter activity; voltage-gated channel activity,plasma membrane protein complex; plasma membrane signaling receptor complex; receptor complex; cell leading edge; T cell receptor complex,Unknown,NA,NA
ENSG00000302968.1,,blue,0.6149040505399663,2.4243796160217182e-5,FALSE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,NA,NA
ENSG00000302983.1,,blue,-0.6445557700941997,7.167022257044468e-6,FALSE,nuclear chromosome segregation; chromosome segregation; sister chromatid segregation; nuclear division; organelle fission,"ligase activity; structural constituent of chromatin; ATP-dependent activity, acting on DNA; protein heterodimerization activity; oxidoreduction-driven active transmembrane transporter activity",mitochondrial matrix; chromosomal region; condensed chromosome; mitochondrial inner membrane; nuclear chromosome,Cell cycle; Carbon metabolism; Parkinson disease; Biosynthesis of amino acids; Prion disease,NA,NA
ENSG00000303030.1,,yellow,-0.2881214741359685,0.07140314800237561,FALSE,Unknown,monoatomic ion channel activity; transmembrane receptor protein kinase activity; channel activity; passive transmembrane transporter activity; voltage-gated channel activity,plasma membrane protein complex; plasma membrane signaling receptor complex; receptor complex; cell leading edge; T cell receptor complex,Unknown,NA,NA
