Analysis,Module,Type,Ontology,Gene_Scope,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Source_File,category,subcategory
cd4_all,blue,GO,BP,AllGenes,GO:0042254,ribosome biogenesis,125/4070,311/12980,0.401929260450161,1.28182845224646,3.39995235266623,5.2636964594621e-4,0.0186952674950936,0.0180416768245568,REXO5/TSR3/RPL26L1/MTREX/LSG1/NOP16/MRTO4/RIOK2/NLE1/EXOSC7/EXOSC5/XRCC5/XPO1/NOA1/AK6/DIMT1/NOP14/XRN2/ESF1/RPLP0/PES1/SNU13/CINP/NOP56/RBFA/SUV39H1/ERI1/PIH1D1/POP4/FBL/GRWD1/EXOSC3/NPM3/GTPBP4/C1QBP/FTSJ3/GAR1/DDX55/NOP2/PAK1IP1/RRP9/WDR75/ZNHIT6/EBNA1BP2/HEATR1/FCF1/EXOSC8/UTP20/GTF3A/MTERF4/MRPS2/DDX54/MPHOSPH10/RIOK1/GNL3L/NSUN5/DKC1/DHX30/RAN/MYBBP1A/ERAL1/NIP7/GNL2/WDR36/NAT10/MPHOSPH6/IMP4/METTL5/UTP4/NOB1/GREB1L/PELP1/EIF4A3/URB1/ZNF593/NHP2/RPL7L1/NOM1/RPP30/PIH1D2/RPP38/MTERF3/EIF5B/SLX9/TFB2M/WDR43/LSM6/DCAF13/NOL6/RPUSD4/BMS1/NOLC1/TSR1/ZCCHC4/METTL15/PA2G4/EXOSC1/AFG2B/EXOSC10/POP7/TRMT112/RBIS/DDX10/RRS1/GEMIN4/NPM1/NOP10/YBEY/RBM10/UTP11/TBL3/NOC4L/SIRT7/TRMT2B/NOC2L/RPF2/MAK16/RPLP0P6/EIF6/PRKDC/FDXACB1/BOP1/GTF2H5/RCC1L/FRG1,125,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:1904356,regulation of telomere maintenance via telomere lengthening,29/4070,54/12980,0.537037037037037,1.71271271271271,3.54697623224423,5.2648373214744e-4,0.0186952674950936,0.0180416768245568,PARP3/SMG6/HSP90AA1/HNRNPC/ACD/PTGES3/CCT4/TCP1/GNL3L/DKC1/TERF2/NAT10/CCT7/PIF1/CCT6A/ATM/FBXO4/CCT8/CCT3/CCT2/EXOSC10/DCP2/ATR/CTC1/SLX1B/MCRS1/SLX4/SMG5/PINX1,29,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0170041,non-proteinogenic amino acid metabolic process,26/4070,47/12980,0.553191489361702,1.76423231742381,3.54734687647507,5.538415113895e-4,0.0194777511982018,0.0187968047250088,CPS1/ALDH18A1/CAD/PHGDH/PRODH/MTHFD1/BLMH/PARK7/CTH/ALDH8A1/GNMT/GAD1/ASS1/KYAT3/AZIN2/PLOD2/ALDH4A1/CBS/LOC102724560/SRR/MTHFR/AFMID/P4HB/DPYD/EGLN2/KYAT1,26,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0007064,mitotic sister chromatid cohesion,19/4070,31/12980,0.612903225806452,1.95466434176112,3.59660216662917,5.5559719079172e-4,0.0194777511982018,0.0187968047250088,PDS5B/ATRX/NAA10/SMC3/CDC20/STAG1/NAA50/PDS5A/SGO1/MAU2/DSCC1/RB1/POGZ/CDCA5/NSMCE2/RAD21/BUB1/ESCO2/HASPIN,19,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0042558,pteridine-containing compound metabolic process,18/4070,29/12980,0.620689655172414,1.97949673811743,3.56885834366737,6.255830285217e-4,0.0217924619555914,0.0210305926843471,MTHFD2/SLC46A1/MTHFD1/SPR/MTHFD1L/GCH1/ALDH1L2/MTHFS/FPGS/GGH/ATIC/QDPR/SLC25A32/PCBD1/TYMS/SHMT1/MTHFR/SHMT2,18,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0044786,cell cycle DNA replication,25/4070,45/12980,0.555555555555556,1.77177177177177,3.50502321661187,6.4679921823266e-4,0.0223898295418401,0.0216070761681696,RAD51/MCM2/MCM6/ATRX/CDC45/CDC7/GINS1/POLA1/MCM4/LIG1/FBXO5/GMNN/E2F8/TERF2/PCNA/DNA2/BRCA2/DONSON/WRN/E2F7/CDT1/TK1/FEN1/CDK1/ATAD5,25,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0008608,attachment of spindle microtubules to kinetochore,29/4070,55/12980,0.527272727272727,1.68157248157248,3.42339557668387,7.8292242649988e-4,0.026932531471596,0.0259909642376212,SPAG5/NDC80/SEH1L/BIRC5/ECT2/NEK2/TEX14/KNSTRN/SGO1/CCNB1/CDCA8/KNL1/CENPE/RB1/KIF2C/NUF2/INCENP/DSN1/SPC25/BUB3/SKA1/SPC24/SKA3/CDT1/CDK1/ZWILCH/AURKB/RCC2/KNTC1,29,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:1902749,regulation of cell cycle G2/M phase transition,53/4070,116/12980,0.456896551724138,1.45712954333644,3.3424062711108,8.0537144752917e-4,0.0275326984298174,0.0265701492267554,MRE11/FHL1/CDC14B/ORC1/UIMC1/AURKA/CLSPN/CDC6/CDC7/RBBP8/RAB11A/NBN/BABAM1/CDK6/GTPBP4/FBXO5/CENPF/KIF14/CDK2/STK35/PKMYT1/VPS4A/CCNB1/TAOK3/RNASEH2B/NABP2/TICRR/BRD4/DTL/ETAA1/ATM/RAD17/CDC25C/DONSON/TAOK1/MRNIP/TOPBP1/CDC25A/RAD21/WEE1/AVEN/WNT10B/CDK1/NABP1/ATR/ATAD5/CTC1/AURKB/RCC2/NPM1/RAD51B/FOXO4/PINX1,53,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:1901605,alpha-amino acid metabolic process,68/4070,156/12980,0.435897435897436,1.39015939015939,3.31338252236926,8.1945419310781e-4,0.027841209128799,0.02686787432373,CPS1/ALDH18A1/ASNS/MCCC1/DCT/ARG2/CAD/SEPHS1/FH/PHGDH/GGT1/PRODH/GCAT/MTHFD1/SMS/IL4I1/HIBADH/BLMH/NIT2/GLS/PARK7/CTH/AGMAT/ALDH8A1/GOT1/GNMT/ASL/GAD1/ASS1/SCLY/MTHFS/FPGS/KYAT3/SLC39A8/GCSH/AZIN2/AMT/ENOPH1/PSPH/ADHFE1/AUH/GLUD1/APIP/ACAD8/QDPR/PLOD2/ALDH4A1/CBS/LOC102724560/SERINC5/GPT2/PCBD1/SRR/MECP2/SHMT1/MTHFR/PFAS/SHMT2/PYCR1/AFMID/P4HB/NAT8L/CLN3/HIBCH/EGLN2/ARHGAP11B/MCCC2/KYAT1,68,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0044774,mitotic DNA integrity checkpoint signaling,37/4070,75/12980,0.493333333333333,1.57333333333333,3.36540850746805,8.5049079057617e-4,0.0287184129529525,0.0277144109089272,MRE11/CDC14B/ORC1/UIMC1/MAP3K20/CLSPN/CDC6/NBN/BABAM1/NEK11/ATF2/CDK2/STK33/TAOK3/MDC1/TICRR/DTL/FANCD2/DGKZ/ATM/RAD17/XPC/EME1/DONSON/TAOK1/MRNIP/TOPBP1/RFWD3/CDK1/SETMAR/CHEK2/FOXO4/MUC1/EME2/GIGYF2/TREX1/PRKDC,37,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0071897,DNA biosynthetic process,66/4070,151/12980,0.437086092715232,1.39395024163236,3.29088276422386,8.8865080213894e-4,0.0298239878961752,0.0287813347085564,POLDIP2/MRE11/RFC1/PARP3/JADE2/RFC2/POLQ/POLD1/SMG6/XRCC5/HSP90AA1/HNRNPC/HSP90AB1/POLE2/POLA1/ACD/USP10/LIG1/POLD2/GAR1/PTGES3/CCT4/CENPF/TCP1/HROB/ZBTB1/CHTF18/GNL3L/DKC1/TERF2/PCNA/RFC3/NAT10/CCT7/DSCC1/PIF1/DTL/CCNA2/NHP2/CCT6A/ATM/FBXO4/CCT8/USP1/CCT3/RFC4/TERT/WRN/CCT2/PCLAF/PHB1/TK1/CDK1/EXOSC10/DCP2/ATR/SPHK1/TYMS/POLE/CTC1/NOP10/HSP90AB3P/TFDP1/SMG5/TREX1/PINX1,66,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0051445,regulation of meiotic cell cycle,28/4070,53/12980,0.528301886792453,1.68485466598674,3.37649762212769,9.2133268226011e-4,0.0303975979889257,0.0293348912660877,CDC27/ASPM/TRIP13/ANAPC5/LFNG/RAD51AP1/FBXO5/TTK/RAD1/CDC20/ZWINT/STK35/PKMYT1/LIF/ANAPC13/CDC16/KNL1/ANAPC11/ANAPC1/PSMA8/FBXO43/CDC25C/CDC25A/ANAPC16/INSR/CDC26/CALR/PIWIL2,28,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0000212,meiotic spindle organization,14/4070,21/12980,0.666666666666667,2.12612612612613,3.49051818916654,9.2231084014364e-4,0.0303975979889257,0.0293348912660877,ASPM/NDC80/ATRX/AURKA/PPP2R1A/FBXO5/TUBG1/ESPL1/SKA1/CCNB2/DCAF13/SKA3/GOLGA2/DDB1,14,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
cd4_all,blue,GO,BP,AllGenes,GO:0051383,kinetochore organization,14/4070,21/12980,0.666666666666667,2.12612612612613,3.49051818916654,9.2231084014364e-4,0.0303975979889257,0.0293348912660877,NDC80/SENP6/SMC4/CENPA/CENPF/CENPK/DLGAP5/CENPE/NUF2/POGZ/CENPH/CENPX/KNTC1/CENPW,14,cd4_all_blue_GO_BP_AllGenes.csv,NA,NA
